"Business Name","Website","Phone","Redeem Type"
"& Other Stories","https://www2.hm.com/hw_il/ladies/brands/stories.html","073-3200500","In-store"
"&GOLF","http://www.golfco.co.il/","03-6451515","In-store"
"#אימונוי","https://www.imunoy.com/","0524529478","In-store"
"2BREAK","http://www.2break.co.il","073-7083012","In-store"
"3030","https://www.spa3030.com/he/","054-5953033","In-store"
"360 - עולם של חדשנות","https://www.threesixty.co.il/?srsltid=AfmBOophIWgdEDX-R8z8XY4BuchhRBZHUOt9ksCJ70JcR7rQQeWRm6jY/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","035237212","In-store"
"417","https://417skincare.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6774449","Online"
"4Chef","http://www.4chef.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","08-9110900","Online"
"6 במאי","http://www.6inmay.co.il/","072-2410551","In-store"
"7TO1 Lab","https://7to1lab.com/","03-6700112","In-store"
"אבא חטוב ואמא חטובה","https://leptin4life.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","058-660-0303","Online"
"אביטליטי","http://www.avitality.co.il/","0544317255","In-store"
"אבני אהוה","https://ahavastones.co.il/?utm_source=&utm_medium=&utm_campaign=","052-8617615","Online"
"אגאדיר","https://agadir.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","*5690","Online"
"אגם","https://agambooks.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-7576523","Online"
"אדון קרלוס","https://www.adoncarlos.co.il/","055-9818778","In-store"
"אוליאה | Olea","https://olea-israel.com/","053-3650028","In-store"
"אוליברי","http://www.olivery.co.il","03-5446076","In-store"
"אולפני לירון","https://www.liron-music.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0737538880","In-store"
"אומנות המגע במים","http://www.watsu-israel.co.il/","054-9799022","In-store"
"אופטיקה הלפרין","https://optica-halperin.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6150300","Online"
"אופטיקנה","https://www.opticana.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","6618*","In-store"
"אופנוסנטר","https://ofnocenter.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0549793930","Online"
"אופק חדש","https://www.newhorizon.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-700-70-2009","Online"
"אורדמן","https://www.ordman.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-700-501039","Online"
"אוריה עזרן","https://oriaazran.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","053-4709916","Online"
"אורן משי","https://www.orenmeshi.co.il/?utm_source=&utm_medium=&utm_campaign=","08-6727171","In-store"
"אושי אושי חיפה","https://oshioshi.co.il/","*6054","In-store"
"אות והדר תשמישי קדושה","https://otvehadar.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","098878770","Online"
"אחוזת הספא","https://hotel-spa.co.il/","08-9478800","In-store"
"אחוזת ספא קיסר- קיסריה","http://www.spa-pro.co.il/","04-6266669","In-store"
"איטלקיה בפשפשים","http://italkiya.co.il/","051-5531525","In-store"
"אילוף בנועם",""," 0547996844","In-store"
"אינטימה","http://www.golfco.co.il/","03-6451515","In-store"
"איסתא אקטיב מבית איסתא ספורט","https://bike.isstasport.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-7777265","In-store"
"איריסקו עגלת קפה","https://coffeetrail.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","050-487-8754","In-store"
"איש הענבים","https://grape-man.com/","03-5180533","In-store"
"אלון ענבל- כלבים לחיים","","054-7919960","In-store"
"אלוף ספורט","https://www.alufsport.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","08-9336658","Online"
