"Business Name","Website"
"417","https://417skincare.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"4Chef","http://www.4chef.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אבא חטוב ואמא חטובה","https://leptin4life.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אבני אהוה","https://ahavastones.co.il/?utm_source=&utm_medium=&utm_campaign="
"אגאדיר","https://agadir.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אגם","https://agambooks.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אופטיקה הלפרין","https://optica-halperin.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אופנוסנטר","https://ofnocenter.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אופק חדש","https://www.newhorizon.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אורדמן","https://www.ordman.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אוריה עזרן","https://oriaazran.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אות והדר תשמישי קדושה","https://otvehadar.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אלוף ספורט","https://www.alufsport.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אליטל","https://elital.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ארגז מהכפר","https://argazkfar.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ארקיע","https://www.arkia.co.il/he?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"אשכר מטפחות לדתיות","https://www.eshkar.shop/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"בון סטריט","https://bone-street.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"בוניטה דה מאס","https://www.bonitademas.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"בועז שטיין","https://www.boaz-stein.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"בייבי בוס טקסטיל","https://babybosstextile.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"בירליך","https://beerlich.com/"
"בית הרמזים","https://clues.world/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"בלו בנדנה","https://bluebandana.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"בר איטליה","https://baritalia.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"בש גל","https://www.bashgal.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"גבינות ברמות","http://www.gvinotberamot.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"גורדון פדגוגיה חדשנית","https://gordon-hub.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"גן סטודיו","https://gan-studio.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"גרקו והמעדניה היוונית של גרקו","http://www.greco.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ד""ר גב","https://www.dr-gav.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"דנה אשכנזי","https://www.danaashkenazi.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"דני בוי","https://daniboy.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"דניאלה להבי","https://daniellalehavi.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"האתר הסודי לשמלות מסתובבות","https://twirldress.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"הדרא","https://www.hadara.biz/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"הילולה","https://www.hillula.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"המדריך לתיכוניסט - ליאל אלי","https://lieleli.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"העץ של יאשה","https://yashas-wood.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"הקונדיטוריה של גל","https://www.galsbakery.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"הקמפוס הדיגיטלי","https://www.askpavel.co.il/campus?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"הראל קולדן- קורס לניהול כסף חכם","https://koldanh.school/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"השטיח האדום","https://www.carpetshop.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"זוטא","https://zutadelli.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"חגית טסה","https://hagitassa.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"חן במטבח","https://book.heninthekitchen.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"חנות בוטיק AYO","https://thisisayo.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"חנות האוהדים של מכבי תל אביב","https://shop.maccabi.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"טבע נאות","http://www.tevanaot.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"טיטניום","https://www.titanium-suitcases.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"טעימים","https://www.teimim.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"יהלומי הבורסה","https://www.diamondbourse.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"יקב בן זמרה","https://www.benzimrawinery.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"יש לאן","http://www.nivut.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"כרמל דיירקט","https://carmeldirect.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"כרמלה","https://www.carmella.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ליאור מוצרי חשמל","https://www.lior-electric.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ליליה","https://shop-lilya.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"לילית קוסמטיקה","https://www.lilit.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"לינויה","https://linoyamitpahot.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מאמאל'ה","https://mamale.co.il/?utm_source=&utm_medium=&utm_campaign="
"מגה ספורט","https://www.megasport.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מועדון היין","https://wine-club.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referralhttps%3A%2F%2Fwlovep.com%2Fhttps%3A%2F%2Fwomancosmetics.co.il%2Fhttp%3A%2F%2Fwww.y-not.co.il%2F&gad_campaignid=18995025574&gbraid=0AAAAADq6uPVqU-icTS0VKm3OXq7OanVvn&gclid=CjwKCAjw6eWnBhAKEiwADpnw9jfAVRgJOkWB6d1ctq6QSsc8aBwBWchMEU0U5-j0ziX8TpfowW5UwxoCuKoQAvD_BwE&utm_content=749239772106&utm_term=shape%20patissier&gad_source=1&client=safari&hs=nWj9&sca_esv=d33f661f42c9ee99&hl=en-il&ei=44hSaYLvBLm29u8P8JisqQ4&oq=OPA&gs_lp=EhNtb2JpbGUtZ3dzLXdpei1zZXJwIiHXoNeV16TXqCDXnteV16gg15vXqteV15HXqiDXkNeq16gyBRAhGKABMgUQIRigATIFECEYnwUyCBAAGIAEGKIEMgUQABjvBTIFEAAY7wUyBRAAGO8FSKkSUOwEWOQPcAJ4AZABAJgBzgGgAe8NqgEFMC45LjG4AQPIAQD4AQGYAgugAqgNwgIKEAAYsAMY1gQYR8ICBxAAGIAEGBPCAgYQABgWGB7CAggQABgWGAoYHsICBBAhGBWYAwCIBgGQBgiSBwUyLjcuMqAHjC2yBwUwLjcuMrgHiQ3CBwkwLjEuNy4yLjHIB0qACAA&sclient=mobile-gws-wiz-serp&mstk=AUtExfCGN4p27k8PiQG0t6WU3TO70YJDZ78NHWntwg99jVyVGZ8IBpZp4eOc7PWILQfecihFAl_7Z2pmCnfC31RtRizwuq-9ajr9VI_gVXE_DkgKIUYHADivH1It4xJVwOIpey4&csui=3&ved=2ahUKEwiE7bWR-uKRAxUnm_0HHQsLGmsQgK4QegQIARAB&rlz=1C1CHZN_enIL1140IL1140&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgoIARAAGLEDGIAEMg0IAhAAGIMBGLEDGIAEMgcIAxAAGIAEMgYIBBBFGDwyBggFEEUYPTIGCAYQRRg9MgYIBxBFGDzSAQc4NTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8https%3A%2F%2Fotilyas.com%2Fhehttps%3A%2F%2F925panda.co.il%2Fhttps%3A%2F%2Fwww.paraplu-art.com%2Fhttps%3A%2F%2Fpelle-sg.co.il%2F%3Futm_source%3Dgoogle&gadid=740801971906#https://www.zappa-club.co.il/https://leptin4life.com/?_gl=1%2A1l9bjkr%2A_up%2AMQ..&gclid=Cj0KCQiA88a5BhDPARIsAFj595jBGB3uTXHOElJKQQ58Eg9SWy75EziDkNQg5Pc1tCO4XKklazZgsaUaAk_qEALw_wcB&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referralhttps://agadir.co.ilhttps://ofiyaa-israel.com/https://www.b-shvilenu.co.il/collections/ecolove?gad_source=1&gclid=Cj0KCQiAkoe9BhDYARIsAH85cDMve7xEYnE9zIjc_Geu4Krcz61nLq5s4fsIOcn-Zj7gZ3E9joa764UaAoD1EALw_wcBhttps://oriaazran.com/https://www.eshkar.shop/https://bone-street.com/?gad_source=1&gbraid=0AAAAAqv_rhb-Kq0dzec6mGOjXnA-ubbNn&gclid=Cj0KCQjwzrzABhD8ARIsANlSWNML6QFWqDsUvLTr2S8uDcuHh--WN91yxm6_HpPF-Scnj2t0gcydsrkaAvAnEALw_wcBhttps://www.boaz-stein.com/https://beerlich.com/https://www.baritalia.co.il/https://www.dr-gav.co.il/?utm_source=&utm_medium=&utm_campaign=https://daniboy.co.il/https://lieleli.co.il/http://www.galsbakery.co.il/https://hagitassa.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referralhttps://translate.google.com/?hl=iwhttps://www.teimim.com/https://www.yaarit-jewelry.com/collections/earrings?srsltid=AfmBOopFmRLQFvy2Wl3qZpRX3nUNlAKH3R34LxDsCwkaZFCWi3r4F_f6&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referralhttps://www.benzimrawinery.com/https://wine-club.co.il/"
"מוצצים","https://motsesim.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מיה גלר","https://mayageller.com/he/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מילגה","https://www.milega.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מילק אנד האני","https://mh-distillery.com/he/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
